,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like,boxing,difference,average
0,0.5的爱情,4.4,25746519,1.0,['邢潇'],"['白铭健', '邢潇', '苏芸萌']","['蒲巴甲', '江语晨', '李悦铭', '龚洁']",爱情,187326,85,2014,09,12,57.0,10102.0,11985.0,10759.0,-19.0,0.0,0.0,0.0,55.9万,28,237
1,007：大破天幕杀机,6.9,2363876,0.9999999999941412,['萨姆·门德斯'],"['尼尔·珀维斯', '罗伯特·韦德', '约翰·洛根']","['丹尼尔·克雷格', '朱迪·丹奇', '哈维尔·巴登', '拉尔夫·费因斯', '娜奥米·哈里斯']",动作,134104,143,2013,01,21,13.0,103.0,393.0,411.0,-1.0,-4.0,40.0,52.0,37615.4万,1656,493
2,21岁派对,5.9,6873085,0.9999674717069976,"['乔恩·卢卡斯', '斯科特·摩尔']","['乔恩·卢卡斯', '斯科特·摩尔']","['迈尔斯·特勒', '斯盖拉·阿斯丁', '全知泰', '萨拉·赖特', '乔纳森·凯兹']",喜剧,30660,93,2014,11,21,864840.0,87412.0,339202.0,375450.0,-95.0,2.0,0.0,2.0,174.5万,584,9
3,37次想你,4.0,25728484,0.9999999999117479,['郭廷波'],['郭廷波'],"['付辛博', '白冰', '谭维维', '傅颖', '吉杰']",爱情,7707,91,2014,12,24,653.0,2588.0,2335.0,21737.0,-489.0,558.0,329.0,1825.0,49.2万,47,1540
4,4B青年之4楼B座,4.3,23042272,0.9999999999323952,['孙达'],['玫子'],"['付辛博', '彭宇', '蒲巴甲', '夏梓桐', '刘心悠']",喜剧,314,92,2013,09,10,40.0,3424.0,7444.0,3458.0,-31.0,-743.0,-4369.0,-1392.0,452.2万,4862,482
5,5月天诺亚方舟,8.2,24891524,0.9851303903869382,['刘名峰'],"['陈信宏', '黄中平']","['陈信宏', '刘冠佑', '言承旭', '林依晨', '林晖闵']",剧情,44,114,2013,09,19,681.0,66859.0,100237.0,98544.0,-337.0,-37208.0,-39891.0,-32298.0,2089.6万,518,47
6,81号农场之保卫麦咭,5.1,24852755,0.7779213871606564,['徐克'],['顾虓'],[],喜剧,111888,75,2013,09,28,201.0,1209.0,2418.0,1804.0,-90.0,-855.0,-1373.0,61.0,2530.9万,325,47
7,81号农场之疯狂的麦咭,4.3,25926925,0.999888256344842,['徐克'],['徐克'],"['沈达威', '冯骏骅', '醋醋', '刘雨轩', '杨梦露']",喜剧,1921,80,2014,10,01,812.0,44001.0,66489.0,511921.0,-259.0,-10123.0,-17328.0,-39966.0,1878.8万,698,244
8,X战警：逆转未来,8.2,10485647,1.0,['布莱恩·辛格'],"['西蒙·金伯格', '简·古德曼', '马修·沃恩']","['休·杰克曼', '詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '哈莉·贝瑞']",剧情,44922,131,2014,05,23,38.0,9909.0,14653.0,6573.0,-25.0,-973.0,-4693.0,-5481.0,72296.6万,9206,1504
9,一个人的武林,6.2,24695277,0.9999999968830012,['陈德森'],"['刘浩良', '麦天枢', '陈德森']","['甄子丹', '王宝强', '杨采妮', '白冰', '方中信']",动作,4544,100,2014,10,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11843.0万,5374,2002
