,rating,sentiment,total_people,running_time,year,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like,boxing,difference,average,d_mean,d_std,s_mean,s_std,t_mean,t_std,J·J·艾布拉姆斯,乔丹娜·布鲁斯特,乔斯·韦登,亚伦·保尔,亨利·卡维尔,伊尔凡·可汗,伊德里斯·艾尔巴,伊莫琴·普茨,佐伊·索尔达娜,保罗·沃克,克萝丽丝·利奇曼,克里斯·埃文斯,克里斯·帕拉特,克里斯·桑德斯,克里斯·海姆斯沃斯,克里斯托弗·埃克莱斯顿,克里斯托弗·诺兰,克里斯汀·韦格,冯小刚,冯绍峰,凯文·科斯特纳,凯瑟琳·基纳,刘雅瑟,加里·奥德曼,劳拉·邓恩,卡西·阿弗莱克,卢惠光,卢靖姗,史蒂夫·卡瑞尔,史蒂夫·库根,史蒂文·斯皮尔伯格,吉尔莫·德尔·托罗,吕寅荣,吴京,吴秀波,哈维尔·巴登,哈莉·贝瑞,唐·钱德尔,塔伦·埃格顿,塔布,多米尼克·库珀,姚星彤,娜塔莉·波特曼,娜奥米·哈里斯,孙健君,安吉丽娜·朱莉,安妮·海瑟薇,宋美慧,宋美曼,小罗伯特·唐尼,尼克·罗宾森,布莱丝·达拉斯·霍华德,布莱恩·辛格,廖凡,弗兰克·格里罗,张晋,张译,归亚蕾,徐峥,成龙,戴安·琳恩,扎克瑞·昆图,托尼·贾,拉塞尔·布兰德,拉菲·斯波,文森特·多诺费奥,斯嘉丽·约翰逊,斯科特·沃,朗·普尔曼,本·金斯利,本杰明·布拉特,朱浩伟,朱迪·丹奇,权相宇,李宇春,李安,李小璐,李秉宪,李连杰,杜鹃,杨子姗,杰克·布莱克,杰森·斯坦森,杰西卡·查斯坦,林更新,林诣彬,查理·戴,查理·汉纳姆,柯克·德·米科,格温妮斯·帕特洛,江疏影,汤唯,汤姆·希德勒斯顿,沙恩·布莱克,泰·辛普金斯,海清,温子仁,王德顺,王真儿,理查德·阿滕伯勒,瑞奇·热维斯,白百何,皮埃尔·柯芬,科林·特雷沃罗,科林·费尔斯,米兰达·卡斯格拉夫,米歇尔·罗德里格兹,罗宾·威廉姆斯,艾玛·斯通,苏拉·沙玛,范·迪塞尔,范伟,菊地凛子,萨姆·门德斯,葛优,薛晓路,袁泉,西蒙·佩吉,詹姆斯·麦卡沃伊,谢楠,赵又廷,赵天宇,赵薇,达斯汀·霍夫曼,达科塔·约翰逊,迈克尔·凯恩,迈克尔·基顿,迈克尔·珊农,郑保瑞,郝蕾,郭敬明,钱人豪,阿兰·泰勒,阿德琳妮·帕里奇,阿迪勒·侯赛因,陈学冬,陶虹,雷·帕克,韩寒,马修·沃恩,马修·麦康纳,马克·斯特朗,马克·韦布,鲍勃·佩克,鲍德熹,鹿晗,黄渤,genre_传记,genre_儿童,genre_剧情,genre_动作,genre_动画,genre_历史,genre_喜剧,genre_奇幻,genre_家庭,genre_悬疑,genre_惊悚,genre_战争,genre_歌舞,genre_爱情,genre_科幻,genre_纪录片
0,4.4,1.0,187326,85,2014,57.0,10102.0,11985.0,10759.0,-19.0,0.0,0.0,0.0,55.9,28,237,55.9,0.0,55.9,0.0,90.33333333333333,59.64028280728834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,6.9,0.9999999999941412,134104,143,2013,13.0,103.0,393.0,411.0,-1.0,-4.0,40.0,52.0,37615.4,1656,493,37615.4,0.0,37615.4,0.0,31874.05,7383.476651686521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,0.999999999911748,7707,91,2014,653.0,2588.0,2335.0,21737.0,-489.0,558.0,329.0,1825.0,49.2,47,1540,49.2,0.0,49.2,0.0,1268.8799999999999,2339.91176534501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4.3,0.9999999999323952,314,92,2013,40.0,3424.0,7444.0,3458.0,-31.0,-743.0,-4369.0,-1392.0,452.2,4862,482,415.35,0.0,452.2,0.0,980.8766666666667,1087.5038955536868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,8.2,0.9851303903869382,44,114,2013,681.0,66859.0,100237.0,98544.0,-337.0,-37208.0,-39891.0,-32298.0,2089.6,518,47,2089.6,0.0,2089.6,0.0,2007.8299999999995,564.6336295333463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4.3,0.999888256344842,1921,80,2014,812.0,44001.0,66489.0,511921.0,-259.0,-10123.0,-17328.0,-39966.0,1878.8,698,244,29624.625,0.0,38655.86666666667,0.0,2238.19,460.6581890621289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,8.2,1.0,44922,131,2014,38.0,9909.0,14653.0,6573.0,-25.0,-973.0,-4693.0,-5481.0,72296.6,9206,1504,38856.15,0.0,52591.0,11007.672684087223,46386.21466666667,21288.753486449506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6.2,0.9999999968830012,4544,100,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11843.0,5374,2002,11843.0,0.0,12380.300000000001,759.8569470630638,11055.344000000001,10347.372713336656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,5.5,0.9999999999999916,471,106,2013,117.0,1291.0,5710.0,11981.0,-108.0,-1214.0,-5496.0,-11274.0,17732.4,105243,8074,12353.5,0.0,12353.5,0.0,16151.516666666668,2364.517723624277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,2.7,0.0016039197954020867,110432,93,2012,82.0,1204.0,2432.0,4264.0,-38.0,957.0,1186.0,-2431.0,145.5,173,979,145.5,0.0,145.5,0.0,1122.8205714285716,1415.7618893751237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
