,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1,花田喜事,7.5,1416728,0.9999999848870018,['高志森'],"['黄百鸣', '马伟豪', '谷德昭', '高志森']","['张国荣', '关之琳', '许冠杰', '毛舜筠', '许冠英']",喜剧,1993-01-20(香港),454,85
3,年年有今日,7.8,4191644,1.0,['罗勒·莎菲'],['大卫·尼克尔森'],"['安妮·海瑟薇', '吉姆·斯特吉斯', '汤姆·米森', '朱迪·惠特克', '蒂姆·凯']",剧情,2011-08-19(美国),46743,107
5,梅雨季节,8.4,1766592,0.9999999998255145,['乔梁'],"['田小洁', '席与立']",[],剧情,1995-01-18,725,91
6,红番区,7.3,1296011,0.9999999999999984,['唐季礼'],"['马美萍', '邓景生']","['成龙', '梅艳芳', '叶芳华', '董骠', '马克·阿克斯']",喜剧,1995-01-29(中国大陆),341616,104
7,铜马铁燕传奇,5.3,2995215,0.999892361534004,"['杜韦达', '袁方']","['赵小波', '罗棋']","['季天笙', '于荣光', '陈少霞', '李致正']",喜剧,1995,341616,82
9,疯狂的兔子,6.6,1938923,0.3997172293193574,"['崔小芹', '孟卫兵']",['张之路'],"['柳田', '赵梦洋', '陈述', '崔岳', '黄迎']",科幻,1997,129,82
10,97家有喜事,7.4,1305197,0.9999999999999998,['张坚庭'],"['黄百鸣', '谷德昭']","['周星驰', '黄百鸣', '吴镇宇', '乔宏', '伍咏薇']",喜剧,1997-02-06(香港),340,90
11,阴阳路,6.6,1480051,0.9999744513939396,"['郑伟文', '谭朗昌', '邱礼涛']","['刘孝伟', '秋婷', '杨焕彩']","['古天乐', '雷宇扬', '丁子峻', '朱永棠', '蔡少芬']",恐怖,1997-05-10(香港),340,98
13,桃色陷阱,5.7,1293819,1.0,['威廉·弗莱德金'],['乔·埃泽特哈斯'],"['大卫·卡罗素', '琳达·费奥伦蒂诺', '查兹·帕尔明特瑞', '理查德·克里纳']",剧情,1995-10-13,58703,95
14,没事偷着乐,7.5,1300678,1.0,['杨亚洲'],"['崔砚君', '刘恒', '孙毅安']","['冯巩', '丁嘉丽', '郑卫莉', '气壳', '李明启']",喜剧,1999-01-07(中国大陆),252,106
16,缘，妙不可言,5.3,2148618,0.02623952507110372,['曹建南'],['曹建南'],"['吴奇隆', '赵薇', '何润东', '李绮虹']",剧情,1999-05-13(中国大陆),11820,90
17,特警新人类,6.3,1299048,0.9999999977587675,['陈木胜'],"['陈木胜', '戚家基', '许安', '李绮华']","['谢霆锋', '冯德伦', '李灿森', '吴彦祖', '叶佩雯']",喜剧,1999-06-18,11820,113
18,那个夏天的日子,8.5,1779364,1.0,"['汤山邦彦', '石原立也']","['寺田宪史', '松本泉']","['古谷彻', '鹤广美', '原惠理子', '本多知惠子', '富泽美智惠']",喜剧,1996-11-02,10122,95
20,龙飞凤舞,6.7,7163765,0.9999999999999989,['王育麟'],"['太保', '吴朋奉', '郭春美', '陈家乐', '陳家祥', '王莉雯', '朱家儀', '王安琪', '陳泰樺']",[],剧情,2012-01-13,62150,109
21,阴阳路六之凶周刊,5.3,26961002,0.0520573551996818,['邱礼涛'],['邱礼涛'],"['古天乐', '张智霖', '林家栋', '蔡卓妍', '佘诗曼']",悬疑,2017-10-27(中国大陆),62150,98
23,红岩 第2部,8.3,26675621,0.9999999999607763,"['濑下宽之', '安藤裕章']","['濑古浩司', '樱井画门']","['宫野真守', '细谷佳正', '樱井孝宏', '大塚芳忠', '小松未可子']",剧情,2016-05-06(日本),9732,106
25,新家法,6.3,2084048,0.9997927638835472,['郑伟文'],['南燕'],"['古天乐', '方中信', '杨恭如']",犯罪,1999-09-10(香港),5020,120
26,我的1919,8.0,1316511,1.0,['黄健中'],"['黄丹', '唐娄彝']","['陈道明', '何政军', '许晴', '修宗迪', '李建义']",剧情,1999-09-16(中国大陆),558,98
27,国歌,6.5,1868115,0.9999999999999702,['吴子牛'],"['范正明', '苏叔阳', '张冀平']","['陈坤', '何政军', '傅亨']",剧情,1999-10-07(中国大陆),558,121
28,美丽新世界,6.8,1419942,1.0,['泰伦斯·马力克'],['泰伦斯·马力克'],"['科林·法瑞尔', '考莉安卡·基尔彻', '克里斯蒂安·贝尔', '克里斯托弗·普卢默', '奥古斯特·斯彻伦伯格']",剧情,2005-12-25(美国),23913,135
29,我的父亲母亲,7.9,1294007,1.0,['张艺谋'],['鲍十'],"['章子怡', '郑昊', '孙红雷', '李滨', '嵇波']",剧情,1999-10-16(中国大陆),23913,89
30,月蚀,6.4,3289086,0.9999043005217381,['大卫·斯雷德'],"['梅莉莎·罗森伯格', '斯蒂芬妮·梅耶']","['克里斯汀·斯图尔特', '罗伯特·帕丁森', '泰勒·洛特纳', '比利·伯克', '阿什丽·格林尼']",剧情,2010-06-30(美国),1332,124
31,缘份的天空,7.9,1298128,0.9999960592553727,['诺拉·艾芙隆'],"['诺拉·艾芙隆', '杰夫·阿奇', '大卫·S·瓦德']","['汤姆·汉克斯', '梅格·瑞恩', '罗斯·马林格', '丽塔·威尔逊', '维克多·加博']",剧情,1993-06-25(美国),1332,105
34,宇宙与人,8.3,1464628,0.9990992564884469,['忻迎一'],[],[],纪录片,2001,21791,60
36,草房子,8.1,1302666,1.0,['徐耿'],['曹文轩'],"['曹丹', '杜源', '吴琴琴', '金荣喜', '许雁青']",剧情,1998,278,105
37,卧虎藏龙,7.9,1301168,1.0,['李安'],"['王蕙玲', '詹姆斯·夏慕斯', '蔡国荣']","['周润发', '杨紫琼', '章子怡', '张震', '郎雄']",剧情,2000-10-13(中国大陆),278,120
