,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like
1,年年有今日,7.8,4191644,1.0,['罗勒·莎菲'],['大卫·尼克尔森'],"['安妮·海瑟薇', '吉姆·斯特吉斯', '汤姆·米森', '朱迪·惠特克', '蒂姆·凯']",剧情,46743,107,2011,08,19,856.0,26524.0,32515.0,123571.0,0.0,0.0,0.0,0.0
13,龙飞凤舞,6.7,7163765,0.9999999999999988,['王育麟'],"['太保', '吴朋奉', '郭春美', '陈家乐', '陳家祥', '王莉雯', '朱家儀', '王安琪', '陳泰樺']",[],剧情,62150,109,2012,01,13,852.0,324.0,855.0,3294.0,0.0,0.0,0.0,0.0
14,阴阳路六之凶周刊,5.3,26961002,0.0520573551996818,['邱礼涛'],['邱礼涛'],"['古天乐', '张智霖', '林家栋', '蔡卓妍', '佘诗曼']",悬疑,62150,98,2017,10,27,59201.0,8894.0,28238.0,99954.0,57626.0,0.0,0.0,0.0
15,红岩 第2部,8.3,26675621,0.9999999999607764,"['濑下宽之', '安藤裕章']","['濑古浩司', '樱井画门']","['宫野真守', '细谷佳正', '樱井孝宏', '大塚芳忠', '小松未可子']",剧情,9732,106,2016,05,06,91649.0,5817.0,6130.0,18005.0,50.0,-2393.0,-24.0,-599.0
39,蜘蛛侠,7.4,24753477,0.9999999999999684,['乔·沃茨'],"['约翰·弗朗西斯·戴利', '史蒂夫·迪特寇', '乔纳森·M·戈尔茨坦', '斯坦·李']","['汤姆·赫兰德', '小罗伯特·唐尼', '玛丽莎·托梅', '迈克尔·基顿', '雅各布·巴特朗']",动作,137281,133,2017,09,08,27.0,116.0,620.0,156.0,-2.0,0.0,0.0,0.0
43,黑白,5.2,25723093,0.9999999998086326,"['游坚煜', '李权峰']","['游坚煜', '李权峰', '黄志翔']","['王传一', '李妍憬', '张静之', '窦智孔', '史黛西']",动作,42,118,2016,03,18,14.0,1335.0,1293.0,1887.0,0.0,0.0,0.0,0.0
50,诺玛的十七岁,3.0,26757951,0.999999872527752,['彭发'],['雷志龙'],"['徐娇', '胡夏', '鲁诺', '王力宏', '蔡卓妍']",爱情,54,91,2017,09,15,9.0,454.0,1249.0,1067.0,0.0,0.0,0.0,0.0
91,鸿门宴,6.3,5908477,1.0,['李仁港'],['李仁港'],"['黎明', '冯绍峰', '刘亦菲', '张涵予', '黄秋生']",剧情,239,135,2011,11,29,871.0,7010.0,6265.0,51113.0,1.0,0.0,0.0,0.0
119,爱了再爱,8.5,4798707,0.9999999999999996,['迈克尔·哈内克'],['迈克尔·哈内克'],"['让-路易·特兰蒂尼昂', '埃玛妞·丽娃', '伊莎贝尔·于佩尔', '威廉姆·西梅尔']",剧情,24284,127,2012,05,20,91.0,288.0,161.0,235.0,-5.0,0.0,0.0,0.0
134,跆拳道,7.2,26781921,0.999999999999602,"['马可·伯格', '马丁·法里纳']",['马可·伯格'],"['加布里埃尔·爱泼斯坦', '卢卡斯·帕帕', '尼古拉斯·巴索夫', '弗朗西斯科·贝尔坦', '阿图罗·弗鲁托斯']",剧情,413409,112,2016,08,18,70.0,10998.0,3232.0,123752.0,0.0,0.0,0.0,0.0
138,卧虎,7.5,26425068,1.0,"['王晶', '关智耀']","['王晶', '吕冠南', '叶铭浩']","['甄子丹', '刘德华', '姜皓文', '郑则仕', '刘浩龙']",动作,679,128,2017,09,30,831.0,16599.0,28403.0,49685.0,1.0,0.0,0.0,0.0
176,哆啦A梦:大雄的恐龙,6.6,26839466,0.9997888286861816,['高桥敦史'],"['高桥敦史', '藤子·F·不二雄']","['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",动画,16873,101,2017,05,30,949.0,633486.0,1004238.0,47661.0,0.0,8.0,0.0,0.0
188,怪女孩,6.4,25958789,0.8719549967178922,['大九明子'],"['源孝志', '原田マハ(原作)']","['足立梨花', '优希美青', '安兰慧', '白羽由里', '甲本雅裕']",剧情,934,118,2015,02,21,393.0,960.0,934.0,6550.0,-19.0,0.0,0.0,0.0
211,梦之队,6.3,4111473,1.0,['本森·李'],"['Chris Parker', 'Brin Hill']","['乔什·哈洛威', '拉兹·阿隆索', '乔希·佩克', '凯蒂·洛茨', '克里斯·布朗']",歌舞,141055,109,2013,09,20,348.0,3597.0,5515.0,29806.0,-3.0,0.0,0.0,0.0
238,钢铁侠,7.5,3231742,0.9999955443630056,['沙恩·布莱克'],"['沙恩·布莱克', '德鲁·皮尔斯', '斯坦·李', '唐·赫克', '拉里·利伯', '杰克·科比']","['小罗伯特·唐尼', '盖·皮尔斯', '格温妮斯·帕特洛', '本·金斯利', '唐·钱德尔']",动作,57946,134,2013,05,01,11.0,85.0,231.0,230.0,0.0,0.0,0.0,0.0
240,樱桃,5.6,6529885,0.9999999578686484,['史蒂芬·艾略特'],"['罗蕾莱·李', '史蒂芬·艾略特']","['詹姆斯·弗兰科', '阿什丽·欣肖', '海瑟·格拉汉姆', '戴夫·帕特尔', '莉莉·泰勒']",剧情,3398,102,2012,04,24,4.0,64.0,165.0,170.0,0.0,0.0,0.0,0.0
250,追星家族,7.1,10766459,1.0,['吕克·贝松'],"['吕克·贝松', '迈克尔·卡莱奥', '托尼诺·贝纳奎斯塔']","['罗伯特·德尼罗', '米歇尔·菲佛', '迪安娜·阿格隆', '约翰·德利奥', '汤米·李·琼斯']",喜剧,55,111,2014,03,07,48.0,1510.0,2160.0,8148.0,0.0,0.0,0.0,0.0
256,鸟巢,5.7,25862279,0.9999991338034536,['杰森·摩尔'],['宝拉·佩尔'],"['蒂娜·菲', '艾米·波勒', '玛娅·鲁道夫', '伊克·巴里霍尔兹', '詹姆斯·布洛林']",喜剧,17787,118,2015,12,18,74.0,5279.0,6088.0,3212.0,-19.0,-2459.0,-1248.0,2.0
258,月亮,9.0,6313765,0.9999999986596544,['埃里康·卡萨罗萨'],['埃里康·卡萨罗萨'],"['克丽斯塔·谢富勒', '托尼·弗希勒', '菲尔·谢里登']",动画,198,7,2011,06,法国,602.0,1207.0,859.0,7672.0,-2.0,0.0,0.0,0.0
267,破冰,7.2,10344754,1.0,['杜琪峰'],"['韦家辉', '游乃海', '陈伟斌', '余曦']","['孙红雷', '古天乐', '黄奕', '钟汉良', '高云翔']",剧情,4424,108,2013,04,02,1.0,4.0,2.0,14.0,0.0,0.0,0.0,0.0
269,圣经里的秘密,8.3,2133323,1.0,['本·斯蒂勒'],"['斯蒂夫·康拉德', '詹姆斯·瑟伯']","['本·斯蒂勒', '克里斯汀·韦格', '亚当·斯科特', '西恩·潘', '凯瑟琳·哈恩']",剧情,116522,114,2013,12,25,3.0,26.0,48.0,20.0,0.0,0.0,0.0,0.0
285,过界,5.6,19944289,0.9999999999940584,['刘韵文'],['刘韵文'],"['刘嘉玲', '陈坤', '田沅', '车婉婉', '郑丹瑞']",剧情,59142,94,2014,02,14,1.0,0.0,44.0,5.0,0.0,0.0,0.0,0.0
295,诡计,6.0,26665873,1.0,['李昌烈'],"['李廷镇', '姜艺媛', '金太勋']",[],剧情,25420,94,2016,07,13,20.0,227.0,267.0,387.0,-1.0,-53.0,-51.0,-1.0
327,牛铃响叮当,6.1,26941790,1.0,"['乔恩·卢卡斯', '斯科特·摩尔']","['乔恩·卢卡斯', '斯科特·摩尔']","['米拉·库尼斯', '克里斯汀·贝尔', '凯瑟琳·哈恩', '克里斯汀·芭伦斯基', '苏珊·萨兰登']",喜剧,1062,104,2017,11,01,184.0,9360.0,7734.0,64483.0,-4.0,0.0,0.0,0.0
352,光之美少女：充满秘密的玩具王国,7.8,24858416,0.9999999995227141,['伊藤尚往'],['山口亮太'],"['生天目仁美', '寿美菜子', '渕上舞', '宮本佳那子', '釘宮理恵']",动画,228104,70,2013,10,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,快枪手,5.1,26219893,1.0,['潘安子'],"['潘安子', '周智勇']","['林更新', '张静初', '腾格尔', '刘晓庆', '锦荣']",喜剧,14109,115,2016,07,15,8.0,168.0,189.0,33.0,-3.0,-155.0,-62.0,-24.0
394,情定敖木仑,7.4,10574468,1.0,['薛晓路'],['薛晓路'],"['汤唯', '吴秀波', '海清', '宋美曼', '宋美慧']",喜剧,5924,123,2013,03,21,283.0,1715.0,1383.0,6397.0,-59.0,6.0,12.0,37.0
430,大国手之扬州论枰,7.5,5912979,0.9976755401616664,['萧锋'],['武志刚'],"['程皓枫', '章贺']",古装,70,90,2011,08,20,914.0,20321.0,42691.0,43512.0,0.0,0.0,0.0,0.0
454,迷城,5.5,25837175,1.0,['林岭东'],"['林岭东', '吕冠南', '谭广源', '沈诗棋']","['古天乐', '余文乐', '佟丽娅', '张孝全', '谢天华']",动作,37,105,2015,07,30,6.0,81.0,398.0,29.0,-1.0,-75.0,-358.0,-28.0
477,纳尼亚传奇：黎明踏浪号,6.5,2131291,0.1086331937186813,['迈克尔·艾普特'],"['克里斯托弗·马库斯', '斯蒂芬·麦克菲利', '迈克尔·彼得罗尼', 'C·S·刘易斯']","['本·巴恩斯', '斯堪德·凯恩斯', '乔芝·韩莉', '威尔·保尔特', '西蒙·佩吉']",剧情,1408,113,2011,01,07,329.0,2045.0,7163.0,7894.0,-55.0,0.0,0.0,0.0
478,创：战纪,6.4,2997134,0.9999524767107156,['约瑟夫·科辛斯基'],"['亚当·霍罗威茨', '布赖恩·克卢格曼', '爱德华·基齐斯', '李·施特恩塔尔', '史蒂文·利斯伯吉尔', '邦尼·麦克伯德']","['加内特·赫德兰', '奥利维亚·王尔德', '杰夫·布里吉斯', '布鲁斯·巴克林纳', '詹姆斯·弗莱恩']",动作,1408,125,2011,01,10,812.0,7275.0,14024.0,73247.0,-22.0,0.0,0.0,0.0
479,喜羊羊与灰太狼之兔年顶呱呱,6.2,5364978,1.0,['赵崇邦'],['赵崇邦'],"['祖丽晴', '张琳', '邓玉婷', '梁颖', '刘红韵']",喜剧,10587,88,2011,01,21,740.0,4249.0,3388.0,9061.0,-4.0,-365.0,211.0,-253.0
481,我爱HK开心万岁,7.0,5318665,1.0,"['钟澍佳', '曾志伟']","['钟澍佳', '麦曦茵', '黄洋达']","['曾志伟', '梁家辉', '吴君如', '黄宗泽', '王祖蓝']",剧情,82879,104,2011,01,31,150.0,3526.0,4321.0,15083.0,-2.0,0.0,0.0,0.0
482,我知女人心,5.6,4845414,0.9968524500368358,['陈大明'],['陈大明'],"['刘德华', '巩俐', '袁立', '陈志朋', '李诚儒']",喜剧,33354,117,2011,02,03,22.0,816.0,863.0,1349.0,-2.0,-297.0,-106.0,-454.0
483,熊猫总动员,3.4,4913184,0.00013186660432695785,"['Greg Manwaring', 'Michael Schoemann']",['Greg Manwaring'],"['何炅', '谢娜', '李维嘉', '杜海涛', '刘纯燕']",动画,33354,86,2011,02,03,839.0,1275.0,1301.0,3629.0,0.0,0.0,0.0,0.0
